,training_examples,noise,sigma,acc
309,5,0.0,0.1052641052631579,0.5
310,10,0.0,0.1052641052631579,0.56
311,10,0.0,0.1052641052631579,0.58
312,10,0.0,0.1052641052631579,0.52
313,10,0.0,0.1052641052631579,0.42
314,10,0.0,0.1052641052631579,0.36
315,10,0.0,0.1052641052631579,0.46
316,10,0.0,0.1052641052631579,0.5
317,10,0.0,0.1052641052631579,0.42
318,10,0.0,0.1052641052631579,0.42
319,10,0.0,0.1052641052631579,0.58
320,20,0.0,0.1052641052631579,0.36
321,20,0.0,0.1052641052631579,0.46
322,20,0.0,0.1052641052631579,0.54
323,20,0.0,0.1052641052631579,0.5
324,20,0.0,0.1052641052631579,0.52
325,20,0.0,0.1052641052631579,0.44
326,20,0.0,0.1052641052631579,0.5
327,20,0.0,0.1052641052631579,0.36
328,20,0.0,0.1052641052631579,0.54
329,20,0.0,0.1052641052631579,0.62
330,5,0.2222222222222222,0.1052641052631579,0.52
331,5,0.2222222222222222,0.1052641052631579,0.6
332,5,0.2222222222222222,0.1052641052631579,0.54
333,5,0.2222222222222222,0.1052641052631579,0.42
334,5,0.2222222222222222,0.1052641052631579,0.52
335,5,0.2222222222222222,0.1052641052631579,0.48
336,5,0.2222222222222222,0.1052641052631579,0.54
337,5,0.2222222222222222,0.1052641052631579,0.44
338,5,0.2222222222222222,0.1052641052631579,0.52
339,5,0.2222222222222222,0.1052641052631579,0.54
340,10,0.2222222222222222,0.1052641052631579,0.54
341,10,0.2222222222222222,0.1052641052631579,0.34
342,10,0.2222222222222222,0.1052641052631579,0.46
343,10,0.2222222222222222,0.1052641052631579,0.44
344,10,0.2222222222222222,0.1052641052631579,0.44
345,10,0.2222222222222222,0.1052641052631579,0.66
346,10,0.2222222222222222,0.1052641052631579,0.56
347,10,0.2222222222222222,0.1052641052631579,0.52
348,10,0.2222222222222222,0.1052641052631579,0.44
349,10,0.2222222222222222,0.1052641052631579,0.44
350,20,0.2222222222222222,0.1052641052631579,0.36
351,20,0.2222222222222222,0.1052641052631579,0.52
352,20,0.2222222222222222,0.1052641052631579,0.48
353,20,0.2222222222222222,0.1052641052631579,0.5
354,20,0.2222222222222222,0.1052641052631579,0.48
355,20,0.2222222222222222,0.1052641052631579,0.54
356,20,0.2222222222222222,0.1052641052631579,0.54
357,20,0.2222222222222222,0.1052641052631579,0.44
358,20,0.2222222222222222,0.1052641052631579,0.58
359,20,0.2222222222222222,0.1052641052631579,0.58
360,5,0.4444444444444444,0.1052641052631579,0.54
361,5,0.4444444444444444,0.1052641052631579,0.38
362,5,0.4444444444444444,0.1052641052631579,0.42
363,5,0.4444444444444444,0.1052641052631579,0.46
364,5,0.4444444444444444,0.1052641052631579,0.54
365,5,0.4444444444444444,0.1052641052631579,0.56
366,5,0.4444444444444444,0.1052641052631579,0.46
367,5,0.4444444444444444,0.1052641052631579,0.42
368,5,0.4444444444444444,0.1052641052631579,0.5
369,5,0.4444444444444444,0.1052641052631579,0.52
370,10,0.4444444444444444,0.1052641052631579,0.54
371,10,0.4444444444444444,0.1052641052631579,0.42
372,10,0.4444444444444444,0.1052641052631579,0.56
373,10,0.4444444444444444,0.1052641052631579,0.46
374,10,0.4444444444444444,0.1052641052631579,0.6
375,10,0.4444444444444444,0.1052641052631579,0.44
376,10,0.4444444444444444,0.1052641052631579,0.62
377,10,0.4444444444444444,0.1052641052631579,0.5
378,10,0.4444444444444444,0.1052641052631579,0.5
379,10,0.4444444444444444,0.1052641052631579,0.4
380,20,0.4444444444444444,0.1052641052631579,0.46
381,20,0.4444444444444444,0.1052641052631579,0.52
382,20,0.4444444444444444,0.1052641052631579,0.52
383,20,0.4444444444444444,0.1052641052631579,0.42
384,20,0.4444444444444444,0.1052641052631579,0.44
385,20,0.4444444444444444,0.1052641052631579,0.48
386,20,0.4444444444444444,0.1052641052631579,0.52
387,20,0.4444444444444444,0.1052641052631579,0.46
388,20,0.4444444444444444,0.1052641052631579,0.52
389,20,0.4444444444444444,0.1052641052631579,0.56
390,5,0.6666666666666666,0.1052641052631579,0.4
391,5,0.6666666666666666,0.1052641052631579,0.46
392,5,0.6666666666666666,0.1052641052631579,0.5
393,5,0.6666666666666666,0.1052641052631579,0.52
394,5,0.6666666666666666,0.1052641052631579,0.48
395,5,0.6666666666666666,0.1052641052631579,0.5
396,5,0.6666666666666666,0.1052641052631579,0.5
397,5,0.6666666666666666,0.1052641052631579,0.5
398,5,0.6666666666666666,0.1052641052631579,0.52
399,5,0.6666666666666666,0.1052641052631579,0.46
400,10,0.6666666666666666,0.1052641052631579,0.54
401,10,0.6666666666666666,0.1052641052631579,0.42
402,10,0.6666666666666666,0.1052641052631579,0.6
403,10,0.6666666666666666,0.1052641052631579,0.56
404,10,0.6666666666666666,0.1052641052631579,0.42
405,10,0.6666666666666666,0.1052641052631579,0.6
406,10,0.6666666666666666,0.1052641052631579,0.44
407,10,0.6666666666666666,0.1052641052631579,0.6
408,10,0.6666666666666666,0.1052641052631579,0.34
409,10,0.6666666666666666,0.1052641052631579,0.5
410,20,0.6666666666666666,0.1052641052631579,0.5
411,20,0.6666666666666666,0.1052641052631579,0.52
412,20,0.6666666666666666,0.1052641052631579,0.46
413,20,0.6666666666666666,0.1052641052631579,0.48
414,20,0.6666666666666666,0.1052641052631579,0.48
415,20,0.6666666666666666,0.1052641052631579,0.48
416,20,0.6666666666666666,0.1052641052631579,0.54
417,20,0.6666666666666666,0.1052641052631579,0.6
418,20,0.6666666666666666,0.1052641052631579,0.52
419,20,0.6666666666666666,0.1052641052631579,0.52
420,5,0.8888888888888888,0.1052641052631579,0.54
421,5,0.8888888888888888,0.1052641052631579,0.56
422,5,0.8888888888888888,0.1052641052631579,0.44
423,5,0.8888888888888888,0.1052641052631579,0.5
424,5,0.8888888888888888,0.1052641052631579,0.58
425,5,0.8888888888888888,0.1052641052631579,0.54
426,5,0.8888888888888888,0.1052641052631579,0.58
427,5,0.8888888888888888,0.1052641052631579,0.5
428,5,0.8888888888888888,0.1052641052631579,0.6
429,5,0.8888888888888888,0.1052641052631579,0.48
430,10,0.8888888888888888,0.1052641052631579,0.48
431,10,0.8888888888888888,0.1052641052631579,0.44
432,10,0.8888888888888888,0.1052641052631579,0.58
433,10,0.8888888888888888,0.1052641052631579,0.54
434,10,0.8888888888888888,0.1052641052631579,0.54
435,10,0.8888888888888888,0.1052641052631579,0.58
436,10,0.8888888888888888,0.1052641052631579,0.56
437,10,0.8888888888888888,0.1052641052631579,0.64
438,10,0.8888888888888888,0.1052641052631579,0.42
439,10,0.8888888888888888,0.1052641052631579,0.62
440,20,0.8888888888888888,0.1052641052631579,0.5
441,20,0.8888888888888888,0.1052641052631579,0.46
442,20,0.8888888888888888,0.1052641052631579,0.58
443,20,0.8888888888888888,0.1052641052631579,0.58
444,20,0.8888888888888888,0.1052641052631579,0.64
445,20,0.8888888888888888,0.1052641052631579,0.52
446,20,0.8888888888888888,0.1052641052631579,0.6
447,20,0.8888888888888888,0.1052641052631579,0.48
